@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.062,0.732,n
0.009,0.211,n
0.200,0.295,n
0.251,0.234,p
0.185,0.640,n
0.761,0.218,p
0.043,0.286,n
0.793,0.665,n
0.119,0.202,n
0.116,0.953,n
0.423,0.249,p
0.874,0.660,p
0.426,0.244,p
0.830,0.877,n
0.605,0.114,p
0.798,0.885,n
0.921,0.931,n
0.872,0.711,p
0.149,0.458,n
0.235,0.645,n
0.845,0.685,p
0.069,0.187,n
0.985,0.726,n
0.356,0.962,n
0.870,0.858,n
0.848,0.327,p
0.403,0.360,p
0.942,0.698,p
0.890,0.141,p
0.228,0.311,n
0.475,0.512,n
0.867,0.087,p
0.644,0.196,p
0.575,0.838,n
0.985,0.018,p
0.480,0.036,p
0.742,0.567,p
0.063,0.658,n
0.859,0.019,n
0.252,0.306,p
0.634,0.049,p
0.563,0.497,p
0.013,0.553,n
0.052,0.726,n
0.088,0.758,n
0.357,0.161,p
0.833,0.954,p
0.970,0.173,p
0.008,0.234,n
0.059,0.654,n
0.330,0.180,p
0.912,0.617,p
0.554,0.427,p
0.380,0.655,n
0.735,0.618,p
0.054,0.722,n
0.853,0.036,n
0.776,0.174,p
0.556,0.799,n
0.850,0.442,p
0.889,0.102,p
0.507,0.164,p
0.225,0.811,n
0.216,0.454,n
0.103,0.103,p
0.280,0.014,p
0.303,0.581,n
0.489,0.446,p
0.459,0.538,n
0.316,0.824,n
0.559,0.635,n
0.484,0.394,p
0.536,0.218,p
0.760,0.328,p
0.943,0.344,p
0.289,0.225,p
0.397,0.699,n
0.176,0.389,n
0.066,0.611,n
0.753,0.144,n
0.437,0.542,n
0.701,0.973,n
0.161,0.968,p
0.794,0.702,p
0.317,0.137,p
0.565,0.143,p
0.475,0.529,n
0.887,0.719,p
0.042,0.820,n
0.189,0.797,n
0.771,0.110,p
0.105,0.719,n
0.523,0.652,n
0.751,0.411,p
0.568,0.054,p
0.906,0.779,p
0.585,0.047,p
0.349,0.841,n
0.149,0.019,p
0.603,0.097,p
0.539,0.674,n
0.643,0.545,p
0.912,0.523,p
0.734,0.438,p
0.906,0.111,p
0.307,0.611,p
0.438,0.269,p
0.478,0.534,n
0.456,0.585,n
0.183,0.510,n
0.760,0.667,n
0.685,0.597,p
0.630,0.306,p
0.148,0.973,p
0.998,0.999,n
0.125,0.976,n
0.538,0.770,n
0.691,0.566,p
0.112,0.685,n
0.637,0.688,n
0.447,0.611,n
0.162,0.150,p
0.866,0.090,p
0.690,0.563,p
0.856,0.265,p
0.282,0.475,p
0.768,0.034,p
0.849,0.355,p
0.355,0.911,n
0.366,0.868,n
0.322,0.218,p
0.691,0.980,n
0.107,0.685,n
0.782,0.002,p
0.777,0.701,p
0.898,0.798,n
0.457,0.865,n
0.132,0.857,n
0.886,0.701,p
0.516,0.098,p
0.575,0.178,n
0.433,0.554,n
0.422,0.755,n
0.945,0.141,p
0.292,0.616,n
0.202,0.271,n
0.783,0.153,p
0.714,0.782,n
0.454,0.750,n
0.971,0.028,p
0.028,0.803,n
0.042,0.073,n
0.877,0.250,p
0.603,0.988,n
0.481,0.873,n
0.785,0.148,p
0.621,0.316,p
0.908,0.211,p
0.216,0.790,n
0.512,0.794,n
0.446,0.083,p
0.231,0.524,n
0.458,0.540,n
0.287,0.029,p
0.011,0.781,n
0.304,0.247,n
0.870,0.193,p
0.227,0.475,p
0.138,0.016,p
0.539,0.195,p
0.279,0.180,p
0.052,0.317,p
0.219,0.397,n
0.194,0.706,n
0.570,0.191,p
0.889,0.015,n
0.587,0.475,p
0.175,0.819,n
0.812,0.935,n
0.512,0.368,p
0.443,0.942,n
0.356,0.993,n
0.687,0.600,n
0.805,0.076,p
0.764,0.944,n
0.455,0.512,n
0.767,0.844,n
0.130,0.167,n
0.834,0.563,p
0.713,0.023,n
0.232,0.395,n
0.337,0.926,n
0.078,0.832,n
0.162,0.431,n
0.509,0.508,n
0.172,0.991,n
0.286,0.347,n
0.870,0.551,p
0.359,0.545,n
0.704,0.226,p
0.160,0.996,n
0.801,0.252,p
0.821,0.111,p
0.384,0.173,p
0.549,0.655,n
0.058,0.051,p
0.111,0.899,n
0.441,0.349,p
0.427,0.709,n
0.436,0.267,p
0.053,0.962,n
0.067,0.593,n
0.947,0.233,p
0.617,0.912,n
0.138,0.400,n
0.556,0.470,p
0.176,0.008,p
0.542,0.271,p
0.384,0.105,n
0.313,0.686,p
0.027,0.707,n
0.290,0.771,n
0.906,0.694,p
0.651,0.424,n
0.736,0.858,p
0.018,0.915,n
0.405,0.041,p
0.928,0.807,n
0.779,0.391,p
0.940,0.412,p
0.170,0.393,n
0.915,0.900,n
0.503,0.642,n
0.955,0.393,p
0.729,0.804,n
0.274,0.255,n
0.009,0.120,n
0.466,0.782,n
0.042,0.080,n
0.044,0.415,n
0.910,0.975,n
0.866,0.172,p
0.326,0.856,n
0.099,0.087,p
0.871,0.048,p
0.305,0.933,n
0.785,0.459,p
0.886,0.939,n
0.759,0.211,p
0.922,0.141,p
0.053,0.295,p
0.515,0.199,p
0.836,0.242,p
0.871,0.998,n
0.800,0.276,p
0.837,0.327,n
0.747,0.567,p
0.221,0.923,n
0.596,0.016,n
0.260,0.909,n
0.073,0.688,n
0.339,0.330,n
0.691,0.945,p
0.754,0.276,p
0.075,0.804,n
0.283,0.029,p
0.494,0.410,p
0.784,0.921,n
0.660,0.215,p
0.558,0.036,p
0.278,0.311,n
0.919,0.575,p
0.264,0.290,n
0.334,0.149,p
0.673,0.941,n
0.040,0.583,n
0.305,0.416,n
0.109,0.618,n
0.129,0.010,n
0.354,0.435,n
0.520,0.033,p
0.746,0.804,n
0.039,0.390,n
0.380,0.436,n
0.588,0.487,p
0.796,0.405,p
0.485,0.072,p
0.778,0.282,p
0.756,0.694,n
0.305,0.297,p
0.697,0.073,p
0.531,0.722,n
0.839,0.053,n
0.917,0.396,p
0.159,0.092,p
0.544,0.852,p
0.192,0.596,n
0.972,0.147,p
0.022,0.219,n
0.388,0.258,p
0.153,0.580,n
0.141,0.061,p
0.040,0.337,n
0.004,0.688,n
0.784,0.816,n
0.727,0.706,p
0.123,0.874,p
0.220,0.096,p
0.347,0.506,p
0.504,0.680,n
0.285,0.832,n
0.054,0.312,n
0.127,0.718,n
0.602,0.217,p
0.245,0.189,p
0.614,0.960,n
0.966,0.992,n
0.574,0.372,p
0.434,0.557,n
0.576,0.560,n
0.444,0.562,n
0.392,0.670,n
0.052,0.918,n
0.156,0.201,n
0.477,0.282,p
0.088,0.227,n
0.204,0.699,p
0.309,0.299,p
0.244,0.105,p
0.505,0.739,n
0.933,0.017,p
0.928,0.594,p
0.436,0.963,n
0.008,0.627,n
0.036,0.847,n
0.512,0.071,p
0.977,0.339,p
0.696,0.929,n
0.235,0.904,n
0.140,0.544,n
0.841,0.086,p
0.394,0.010,p
0.356,0.834,n
0.095,0.797,n
0.330,0.332,n
0.967,0.051,p
0.182,0.462,n
0.037,0.798,n
0.890,0.964,n
0.988,0.413,n
0.386,0.305,p
0.006,0.152,n
0.781,0.709,n
0.149,0.927,n
0.350,0.955,n
0.139,0.695,n
0.960,0.194,p
0.273,0.007,p
0.714,0.309,p
0.448,0.292,p
0.955,0.222,p
0.852,0.618,n
0.330,0.347,n
0.122,0.803,n
0.205,0.795,n
0.793,0.706,p
0.431,0.063,p
0.666,0.252,p
0.119,0.329,n
0.225,0.304,n
0.589,0.938,n
0.248,0.469,n
0.055,0.493,n
0.503,0.744,n
0.063,0.723,n
0.847,0.532,p
0.706,0.190,p
0.239,0.527,n
0.558,0.165,p
0.220,0.510,n
0.731,0.094,p
0.042,0.062,n
0.956,0.863,n
0.424,0.209,n
0.945,0.968,n
0.215,0.296,p
0.465,0.558,n
0.722,0.622,p
0.205,0.295,n
0.395,0.844,n
0.014,0.268,n
0.670,0.120,p
0.689,0.388,p
0.941,0.832,n
0.702,0.387,p
0.160,0.582,n
0.212,0.503,n
0.579,0.436,p
0.203,0.461,n
0.892,0.816,n
0.066,0.942,n
0.448,0.682,n
0.519,0.820,n
0.824,0.412,p
0.602,0.379,p
0.268,0.284,n
0.682,0.097,p
0.919,0.985,n
0.338,0.817,n
0.167,0.027,p
0.826,0.816,n
0.024,0.618,n
0.016,0.384,p
0.008,0.472,n
0.784,0.052,p
0.812,0.890,n
0.925,0.083,p
0.318,0.871,n
0.293,0.583,n
0.066,0.565,n
0.174,0.679,n
0.829,0.000,p
0.134,0.244,n
0.611,0.747,n
0.544,0.646,n
0.436,0.280,p
0.274,0.783,p
0.440,0.155,n
0.226,0.156,p
0.593,0.680,n
0.635,0.725,n
0.671,0.073,p
0.548,0.061,p
0.826,0.967,n
0.410,0.354,p
0.832,0.502,p
0.767,0.600,p
0.160,0.981,n
0.618,0.659,n
0.789,0.452,p
0.159,0.991,n
0.927,0.572,p
0.899,0.643,p
0.592,0.460,p
0.270,0.095,n
0.300,0.377,n
0.983,0.299,p
0.640,0.098,p
0.008,0.294,n
0.469,0.369,p
0.519,0.786,n
0.748,0.717,n
0.043,0.432,n
0.616,0.644,n
0.260,0.827,n
0.518,0.739,n
0.642,0.198,p
0.985,0.799,p
0.303,0.815,n
0.374,0.907,n
0.679,0.832,n
0.305,0.799,n
0.695,0.750,n
0.891,0.971,n
0.599,0.062,p
0.197,0.141,p
0.957,0.547,p
0.882,0.011,p
0.058,0.843,n
0.512,0.276,p
0.834,0.428,p
0.511,0.401,p
0.962,0.571,p
0.305,0.139,p
0.412,0.467,n
0.496,0.899,n
0.045,0.106,n
0.294,0.463,n
0.262,0.062,p
0.544,0.218,p
0.520,0.963,n
0.079,0.524,n
0.829,0.782,n
0.406,0.328,p
0.974,0.078,p
0.632,0.883,n
0.425,0.045,p
0.356,0.741,p
0.438,0.326,p
0.885,0.701,p
0.133,0.478,n
0.131,0.145,n
0.563,0.996,p
0.856,0.480,p
0.081,0.263,n
0.459,0.046,p
0.530,0.322,p
0.321,0.469,n
0.154,0.494,n
0.334,0.740,n
0.488,0.037,p
0.746,0.120,p
0.725,0.109,p
0.815,0.258,n
0.379,0.444,n
0.136,0.150,n
0.485,0.172,p
0.219,0.769,p
0.207,0.948,n
0.793,0.671,p
0.470,0.427,p
0.942,0.345,p
0.104,0.384,n
0.068,0.268,n
0.884,0.469,p
0.080,0.597,n
0.816,0.892,n
0.093,0.145,n
0.382,0.424,n
0.617,0.935,n
0.417,0.395,p
0.414,0.823,n
0.608,0.457,n
0.627,0.141,p
0.166,0.659,n
0.395,0.027,p
0.391,0.314,p
0.140,0.141,n
0.146,0.237,n
0.490,0.970,n
0.788,0.470,p
0.819,0.428,p
0.129,0.521,n
0.745,0.990,n
0.439,0.377,p
0.323,0.231,p
0.475,0.231,p
0.187,0.044,p
0.595,0.822,n
0.182,0.072,p
0.774,0.808,n
0.935,0.681,p
0.357,0.003,p
0.833,0.618,p
0.622,0.943,n
0.991,0.337,p
0.627,0.006,p
0.285,0.523,n
0.914,0.110,p
0.440,0.321,p
0.447,0.502,n
0.579,0.971,n
0.899,0.522,p
0.452,0.492,n
0.151,0.640,n
0.265,0.018,p
0.371,0.184,p
0.042,0.029,p
0.351,0.748,p
0.786,0.144,p
0.462,0.448,n
0.866,0.247,p
0.360,0.249,p
0.284,0.884,n
0.809,0.125,p
0.197,0.079,p
0.999,0.573,p
0.479,0.386,p
0.268,0.952,n
0.196,0.598,n
0.402,0.322,n
0.325,0.043,p
0.709,0.134,p
0.755,0.803,n
0.257,0.156,p
0.420,0.133,p
0.820,0.089,p
0.386,0.394,n
0.516,0.602,n
0.093,0.965,n
0.754,0.200,p
0.524,0.699,n
0.171,0.260,n
0.939,0.080,p
0.903,0.914,n
0.659,0.854,n
0.713,0.754,n
0.242,0.410,n
0.046,0.188,n
0.148,0.339,n
0.991,0.771,p
0.707,0.916,n
0.908,0.468,p
0.377,0.263,p
0.784,0.528,p
0.424,0.236,p
0.012,0.806,n
0.273,0.224,p
0.835,0.039,p
0.671,0.389,p
0.662,0.845,n
0.796,0.200,p
0.279,0.417,n
0.962,0.952,n
0.482,0.515,n
0.359,0.992,n
0.544,0.031,p
0.471,0.794,n
0.050,0.494,n
0.893,0.854,n
0.534,0.920,n
0.033,0.942,n
0.992,0.951,n
0.064,0.991,n
0.252,0.783,n
0.817,0.567,p
0.589,0.144,p
0.316,0.442,n
0.370,0.904,n
0.947,0.993,n
0.610,0.347,p
0.646,0.240,p
0.581,0.930,n
0.179,0.002,p
0.587,0.415,p
0.057,0.147,n
0.893,0.961,n
0.705,0.731,n
0.430,0.941,n
0.360,0.783,n
0.490,0.411,p
0.853,0.603,p
0.752,0.640,p
0.796,0.368,p
0.796,0.246,p
0.492,0.256,p
0.464,0.204,n
0.285,0.232,p
0.337,0.874,p
0.540,0.677,n
0.227,0.394,n
0.399,0.984,n
0.967,0.113,p
0.812,0.380,p
0.771,0.969,p
0.801,0.844,n
0.189,0.061,p
0.155,0.010,p
0.897,0.285,p
0.171,0.298,n
0.356,0.383,p
0.461,0.345,n
0.218,0.544,p
0.535,0.464,p
0.334,0.977,n
0.425,0.187,n
0.672,0.803,n
0.698,0.243,p
0.943,0.157,n
0.053,0.472,n
0.477,0.459,p
0.467,0.429,p
0.986,0.036,p
0.197,0.465,n
0.840,0.223,p
0.934,0.111,p
0.343,0.906,n
0.163,0.229,n
0.480,0.622,n
0.109,0.980,n
0.613,0.973,n
0.045,0.538,n
0.302,0.807,p
0.349,0.333,p
0.365,0.034,p
0.756,0.066,p
0.260,0.293,n
0.294,0.923,n
0.867,0.847,n
0.572,0.523,p
0.656,0.145,p
0.633,0.709,n
0.606,0.778,n
0.965,0.885,n
0.051,0.076,n
0.005,0.426,n
0.523,0.094,p
0.996,0.562,p
0.344,0.293,p
0.842,0.408,p
0.428,0.922,n
0.314,0.772,n
0.885,0.373,p
0.645,0.036,p
0.211,0.157,p
0.594,0.460,p
0.574,0.734,n
0.032,0.141,n
0.514,0.915,n
0.710,0.732,n
0.106,0.300,n
0.780,0.238,n
0.179,0.752,p
0.231,0.642,n
0.488,0.690,n
0.153,0.966,n
0.117,0.445,n
0.147,0.500,p
0.069,0.540,n
0.460,0.567,p
0.977,0.018,p
0.080,0.064,p
0.487,0.348,p
0.540,0.177,p
0.914,0.097,p
0.537,0.576,n
0.439,0.785,n
0.717,0.490,p
0.944,0.820,n
0.717,0.666,n
0.578,0.436,p
0.254,0.682,n
0.582,0.975,n
0.848,0.996,n
0.441,0.346,n
0.698,0.961,n
0.726,0.623,p
0.200,0.389,n
0.708,0.279,n
0.670,0.767,n
0.070,0.618,n
0.544,0.244,p
0.971,0.325,p
0.715,0.377,n
0.302,0.020,p
0.787,0.577,p
0.852,0.092,n
0.344,0.392,p
0.261,0.675,n
0.772,0.911,n
0.955,0.462,p
0.406,0.026,n
0.776,0.486,p
0.777,0.176,p
0.031,0.523,n
0.294,0.488,n
0.740,0.778,n
0.420,0.295,p
0.881,0.347,p
0.245,0.944,p
0.474,0.385,p
0.550,0.917,n
0.008,0.855,n
0.872,0.629,p
0.861,0.640,p
0.325,0.655,n
0.161,0.822,n
0.057,0.357,n
0.618,0.304,p
0.447,0.983,n
0.174,0.560,n
0.729,0.821,n
0.758,0.429,n
0.352,0.713,n
0.367,0.676,n
0.002,0.002,n
0.179,0.109,p
0.512,0.401,p
0.607,0.515,p
0.078,0.937,n
0.442,0.192,n
0.376,0.149,p
0.423,0.722,n
0.881,0.082,p
0.249,0.240,p
0.032,0.099,p
0.411,0.860,n
0.505,0.230,p
0.169,0.793,n
0.788,0.538,p
0.330,0.556,n
0.599,0.909,n
0.778,0.534,p
0.477,0.205,p
0.440,0.632,n
0.494,0.552,n
0.755,0.652,n
0.636,0.605,n
0.008,0.812,n
0.386,0.805,n
0.274,0.566,n
0.559,0.452,n
0.395,0.055,n
0.470,0.038,p
0.974,0.191,p
0.684,0.873,n
0.425,0.424,n
0.817,0.223,p
0.867,0.754,p
0.191,0.680,n
0.540,0.812,p
0.590,0.237,p
0.613,0.267,p
0.960,0.784,n
0.015,0.288,n
0.146,0.580,n
0.202,0.624,n
0.795,0.717,n
0.913,0.269,p
0.003,0.638,n
0.135,0.881,n
0.607,0.160,p
0.384,0.093,p
0.122,0.187,n
0.861,0.813,n
0.299,0.357,n
0.670,0.842,n
0.539,0.643,p
0.237,0.665,n
0.052,0.758,n
0.943,0.861,p
0.992,0.037,p
0.812,0.645,n
0.043,0.612,n
0.627,0.876,n
0.494,0.627,n
0.515,0.386,n
0.724,0.164,p
0.569,0.031,p
0.154,0.197,n
0.610,0.467,p
0.892,0.001,p
0.705,0.402,p
0.891,0.793,n
0.821,0.339,p
0.202,0.977,n
0.293,0.505,n
0.161,0.169,n
0.567,0.658,p
0.436,0.549,n
0.666,0.806,n
0.708,0.862,n
0.119,0.051,p
0.106,0.895,n
0.821,0.458,p
0.508,0.086,p
0.576,0.499,p
0.649,0.832,n
0.764,0.927,n
0.442,0.448,n
0.168,0.213,n
0.153,0.557,n
0.226,0.677,n
0.426,0.004,p
0.440,0.735,n
0.931,0.147,p
0.855,0.758,n
0.835,0.978,n
0.062,0.055,p
0.275,0.710,n
0.976,0.490,p
0.761,0.068,p
0.513,0.082,p
0.508,0.380,p
0.620,0.038,p
0.972,0.856,n
0.241,0.994,p
0.718,0.083,p
0.745,0.269,p
0.949,0.998,n
0.668,0.959,p
0.629,0.231,p
0.674,0.466,p
0.318,0.391,n
0.882,0.228,p
0.930,0.352,p
0.597,0.592,n
0.524,0.090,p
0.339,0.526,n
0.976,0.520,p
0.517,0.323,p
0.443,0.056,p
0.298,0.501,n
0.643,0.113,p
0.817,0.670,p
0.960,0.548,p
0.352,0.056,p
0.072,0.011,p
0.595,0.979,n
0.582,0.695,p
0.157,0.673,n
0.035,0.705,n
0.119,0.576,n
0.761,0.254,p
0.231,0.336,n
0.571,0.841,n
0.014,0.547,n
0.625,0.986,n
0.551,0.903,p
0.504,0.861,n
0.552,0.500,p
0.345,0.408,n
0.099,0.822,n
0.206,0.702,n
0.221,0.875,n
0.989,0.790,p
0.875,0.882,n
0.580,0.698,n
0.667,0.184,p
0.081,0.598,n
0.612,0.026,p
0.854,0.061,p
0.270,0.422,n
0.890,0.452,p
0.208,0.031,p
0.839,0.440,p
0.362,0.922,n
0.008,0.279,n
0.673,0.820,n
0.463,0.713,n
0.110,0.734,n
0.878,0.209,p
0.431,0.704,n
0.949,0.807,n
0.361,0.083,p
0.597,0.583,n
0.410,0.996,n
0.835,0.140,p
0.095,0.487,n
0.350,0.396,n
0.155,0.580,n
0.962,0.183,p
0.394,0.193,p
0.696,0.288,p
0.206,0.763,n
0.674,0.051,n
0.650,0.498,p
0.979,0.942,n
0.045,0.503,n
0.214,0.019,p
0.368,0.334,p
0.151,0.323,n
0.631,0.324,p
0.928,0.859,n
0.832,0.110,p
0.216,0.552,p
0.914,0.402,p
0.854,0.013,p
0.168,0.953,n
0.661,0.461,n
0.644,0.592,p
0.828,0.969,n
0.711,0.487,p
0.722,0.213,p
0.301,0.079,p
0.239,0.075,p
0.529,0.174,p
0.557,0.586,n
0.112,0.711,n
0.258,0.740,n
0.613,0.111,p
0.984,0.642,p
0.372,0.576,n
0.999,0.869,p
0.225,0.872,n
0.253,0.415,n
0.438,0.725,p
0.966,0.164,p
0.098,0.099,n
0.244,0.243,n
0.986,0.685,p
0.305,0.623,n
0.750,0.920,n
0.071,0.936,n
0.176,0.767,n
0.853,0.185,p
0.239,0.465,n
0.924,0.611,p
0.324,0.677,n
0.933,0.574,n
0.026,0.436,p
0.350,0.718,n
0.428,0.936,n
0.358,0.174,p
0.262,0.336,n
0.601,0.646,n
0.008,0.768,n
0.914,0.044,p
0.767,0.193,p
0.545,0.627,n
0.922,0.661,p
0.478,0.013,n
0.903,0.359,p
0.923,0.704,p
0.826,0.994,p
0.166,0.070,p
0.135,0.791,n
0.149,0.001,p
0.596,0.037,p
0.389,0.966,n
0.583,0.308,p
0.022,0.531,n
0.637,0.278,p
0.429,0.722,n
0.502,0.049,p
0.937,0.852,p
0.599,0.150,p
0.700,0.250,p
0.157,0.488,n
0.374,0.888,p
0.302,0.029,p
0.526,0.112,p
0.599,0.256,p
0.379,0.097,p
0.625,0.010,p
0.917,0.431,p
0.732,0.686,n
0.653,0.451,p
0.842,0.530,p
0.392,0.627,n
0.570,0.723,n
0.102,0.766,n
0.743,0.344,p
0.727,0.639,p
0.936,0.038,p
0.661,0.098,p
0.324,0.186,n
0.044,0.687,n
0.521,0.630,p
0.678,0.737,n
0.247,0.418,n
0.600,0.166,p
0.797,0.861,n
0.170,0.368,n
0.900,0.791,n
0.156,0.586,n
0.626,0.481,p
0.482,0.753,n
0.709,0.982,p
0.249,0.139,p
0.697,0.094,n
0.907,0.561,n
0.498,0.464,p
0.479,0.842,n
0.311,0.631,n
0.069,0.967,n
0.101,0.764,n
0.634,0.041,p
0.129,0.020,p
0.728,0.997,n
0.898,0.525,p
0.986,0.197,p
0.313,0.775,n
0.804,0.262,p
0.682,0.461,p
0.961,0.352,p
